"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대전광역시 서구청",대전광역시 서구 계백로1300번길 43(정림동),대전광역시 서구 정림동 18-16 강변경로당 옆,쓰레기단속,1,,,5,2015-10,042-288-3574,36.306369,127.3679338,2019-01-04
"대전광역시 서구청",대전광역시 서구 괴곡동 323,"대전광역시 서구 정림대교, 오세골교아래",쓰레기단속,1,,,5,2018-05,042-288-3574,36.289284,127.358907,2019-01-04
"대전광역시 서구청",대전광역시 서구 도마로 63(변동),대전광역시 서구 변동 61-3 현대직업전문학교 옆,쓰레기단속,1,,,5,2017-06,042-288-3574,36.322613,127.377211,2019-01-04
"대전광역시 서구청",대전광역시 서구 배재로262번길 60(변동),대전광역시 서구 변동 76-1 봉산중학교 담,쓰레기단속,1,,,5,2018-05,042-288-3574,36.331252,127.372829,2019-01-04
"대전광역시 서구청",대전광역시 서구 배재로233번길 31(변동),대전광역시 서구 변동 253-53 상가주택가,쓰레기단속,1,,,5,2018-12,042-288-3574,36.329861,127.368934,2019-01-04
"대전광역시 서구청",대전광역시 서구 변정7길 39(변동),대전광역시 서구 변동 66-34 주택가,쓰레기단속,1,,,5,2018-06,042-288-3574,36.322472,127.380993,2019-01-04
"대전광역시 서구청",대전광역시 서구 아랫강변9길 92(용문동),대전광역시 서구 용문동 233-1 주택가,쓰레기단속,1,,,5,2017-11,042-288-3574,36.338972,127.398736,2019-01-04
"대전광역시 서구청",대전광역시 서구 도솔로 530(용문동),대전광역시 서구 용문동 224-13 삼성산업사 앞,쓰레기단속,1,,,5,2018-12,042-288-3574,36.339416,127.400412,2019-01-04
"대전광역시 서구청",대전광역시 서구 탄방로7번길 28(탄방동),대전광역시 서구 탄방동 852 탄방초등학교 뒤,쓰레기단속,1,,,5,2016-06,042-288-3574,36.346151,127.391632,2019-01-04
"대전광역시 서구청",대전광역시 서구 남선로9번길 14(탄방동),대전광역시 서구 탄방동 1064 도산서원 옆,쓰레기단속,1,,,5,2018-12,042-288-3574,36.344466,127.395312,2019-01-04
"대전광역시 서구청",대전광역시 서구 둔산로137번길 27(둔산동),대전광역시 서구 둔산동 1471 지엠클럽 앞,쓰레기단속,1,,,5,2016-09,042-288-3574,36.352482,127.389252,2019-01-04
"대전광역시 서구청",대전광역시 서구 문정로170번길(둔산동),대전광역시 서구 둔산동 1811 둔산훼미리타운 뒤,쓰레기단속,1,,,5,2016-05,042-288-3574,36.350744,127.398552,2019-01-04
"대전광역시 서구청",대전광역시 서구 가장로 32(괴정동),대전광역시 서구 괴정동 69-30 안정하우스 앞,쓰레기단속,1,,,5,2016-06,042-288-3574,36.338867,127.379752,2019-01-04
"대전광역시 서구청",대전광역시 서구 도솔로305번길 35(괴정동),대전광역시 서구 괴정동 98-3 크로바8빌라 옆,쓰레기단속,1,,,5,2018-05,042-288-3574,36.336999,127.380471,2019-01-04
"대전광역시 서구청",대전광역시 서구 도솔로327번길 52(괴정동),대전광역시 서구 괴정동 66-19 은성쉐르빌 앞,쓰레기단속,1,,,5,2018-06,042-288-3574,36.338936,127.381624,2019-01-04
"대전광역시 서구청",대전광역시 서구 도산로321번길 11(가장동),대전광역시 서구 가장동 57-16 올리브하우스 옆,쓰레기단속,1,,,5,2017-11,042-288-3574,36.343336,127.371988,2019-01-04
"대전광역시 서구청",대전광역시 서구 신갈마로230번길(갈마동),대전광역시 서구 갈마동 안심택배보관함 앞,쓰레기단속,1,,,5,2017-11,042-288-3574,36.354069,127.371728,2019-01-04
"대전광역시 서구청",대전광역시 서구 계룡로416번길 28(갈마동),대전광역시 서구 갈마동 344-21 물댄동산어린이집 앞,쓰레기단속,1,,,5,2016-06,042-288-3574,36.348904,127.373304,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로 163(갈마동),대전광역시 서구 갈마동 1044 카페파스쿠치 앞 화단,쓰레기단속,1,,,5,2016-06,042-288-3574,36.348011,127.375916,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로 141(갈마동,대전광역시 서구 갈마동 1129 kb은행 앞 화단 녹지대,쓰레기단속,1,,,5,2016-06,042-288-3574,36.345852,127.374945,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로 83-44(갈마동),대전광역시 서구 갈마동 12589 푸른빌라 앞,쓰레기단속,1,,,5,2016-06,042-288-3574,36.345667,127.374881,2019-01-04
"대전광역시 서구청",대전광역시 서구 괴정로11번길 95(갈마동,대전광역시 서구 갈마동 1400 둔원중학교 담장 게시판 옆,쓰레기단속,1,,,5,2016-06,042-288-3574,36.341727,127.377151,2019-01-04
"대전광역시 서구청",대전광역시 서구 갈마중로46번길 29(갈마동),대전광역시 서구 갈마동 1121 단포빌라 앞,쓰레기단속,1,,,5,2016-06,042-288-3574,36.345859,127.373867,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로 93-1(갈마동),대전광역시 서구 갈마동 1255 도담하우스 앞,쓰레기단속,1,,,5,2017-06,042-288-3574,36.342084,127.373399,2019-01-04
"대전광역시 서구청",대전광역시 서구 갈마중로 28(갈마동)(갈마동345-1),대전광역시 서구 갈마동 345-1 두리빌 앞,쓰레기단속,1,,,5,2017-06,042-288-3574,36.347608,127.372324,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로151번길 20(갈마동),대전광역시 서구 갈마동 994 길섶주택 앞,쓰레기단속,1,,,5,2017-06,042-288-3574,36.347881,127.373898,2019-01-04
"대전광역시 서구청",대전광역시 서구 갈마중로 8(갈마동),대전광역시 서구 갈마동 361-17 신통치킨 앞,쓰레기단속,1,,,5,2017-11,042-288-3574,36.347527,127.370245,2019-01-04
"대전광역시 서구청",대전광역시 서구 갈마중로42번길 39(갈마동),대전광역시 서구 갈마동 1150 수제왕돈까스 옆,쓰레기단속,1,,,5,2017-11,042-288-3574,36.345863,127.373483,2019-01-04
"대전광역시 서구청",대전광역시 서구 갈마중로 47(갈마동),대전광역시 서구 갈마동 986 대전제일교회 담장,쓰레기단속,1,,,5,2018-05,042-288-3574,36.347426,127.374821,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로 105-6(갈마동),대전광역시 서구 갈마동 1219 둔원고등학교 담,쓰레기단속,1,,,5,2018-05,042-288-3574,36.343174,127.373832,2019-01-04
"대전광역시 서구청",대전광역시 서구 벌곡로 1346(가수원동),대전광역시 서구 가수원동 512-1 부원공업 뒤,쓰레기단속,1,,,5,2016-06,042-288-3574,36.301055,127.356456,2019-01-04
"대전광역시 서구청",대전광역시 서구 도안북로 97(도안동),대전광역시 서구 도안동 876 배부장찌개가 옆,쓰레기단속,1,,,5,2018-06,042-288-3574,36.3303675381,127.339437138,2019-01-04
"대전광역시 서구청",대전광역시 서구 도안북로118번길 21(도안동),대전광역시 서구 도안동 한라비발디 106동옆 쪽문,쓰레기단속,1,,,5,2018-12,042-288-3574,36.3291820944,127.341788659,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평로13번길 29(월평동),대전광역시 서구 월평동 315 강변빌라 옆,쓰레기단속,1,,,5,2016-01,042-288-3574,36.356638,127.358112,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평로13번길 42(월평동),대전광역시 서구 월평동 375 녹지대,쓰레기단속,1,,,5,2016-01,042-288-3574,36.357012,127.358637,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평로13번길 78(월평동),대전광역시 서구 월평동 417 우정빌라 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.357922,127.360229,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로13번길 36(월평동),대전광역시 서구 월평동 540 월평역 1번출구 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.357947,127.364597,2019-01-04
"대전광역시 서구청",대전광역시 서구 한밭대로602번길 1(월평동),대전광역시 서구 월평동 604 태평빌딩 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.357735,127.365977,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로24번길 54(월평동),대전광역시 서구 월평동 660 월평중학교 담장,쓰레기단속,1,,,5,2016-01,042-288-3574,36.356592,127.366991,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로4번길 67(월평동),대전광역시 서구 월평동 763 녹지대,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354223,127.367871,2019-01-04
"대전광역시 서구청",대전광역시 서구 계룡로339번길 7(월평동),대전광역시 서구 월평동 770 스피드카피 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354504,127.366821,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로4번길 11(월평동),대전광역시 서구 월평동 828 골목?냉면집 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354748,127.364618,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로3번길 8(월평동),대전광역시 서구 월평동 874 쌍둥이빌라 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.3546819,127.363394,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로3번길 26(월평동),대전광역시 서구 월평동 946 돌식당 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354422,127.362436,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평로 26(월평동),대전광역시 서구 월평동 1020 녹지대,쓰레기단속,1,,,5,2016-01,042-288-3574,36.356063,127.360047,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로13번길 53(월평동),대전광역시 서구 월평동 1041 성당 북동쪽 코너,쓰레기단속,1,,,5,2016-01,042-288-3574,36.355582,127.361012,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평동 1046번지(월평동),대전광역시 서구 월평동 섬말공원 남동코너,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354943,127.361051,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평동 1052번지(월평동),대전광역시 서구 월평동 섬말공원 남서쪽,쓰레기단속,1,,,5,2016-01,042-288-3574,36.3547449,127.3606139,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로3번길 56(월평동),대전광역시 서구 월평동 1074 녹지대,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354152,127.360875,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로3번길 78(월평동),대전광역시 서구 월평동 1082 주찬양교회 부근,쓰레기단속,1,,,5,2016-01,042-288-3574,36.353951,127.359616,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로3번길 90(월평동),대전광역시 서구 월평동 1086 녹지대,쓰레기단속,1,,,5,2016-01,042-288-3574,36.353855,127.359013,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평동 1185(월평동),대전광역시 서구 월평동 동주민센터 옆 공영주차장,쓰레기단속,1,,,5,2016-01,042-288-3574,36.355334,127.356891,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로20번길 84(월평동),대전광역시 서구 월평동 194 모아빌라 옆,쓰레기단속,1,,,5,2016-01,042-288-3574,36.355381,127.356283,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로20번길 66(월평동),대전광역시 서구 월평동 1201 보루네오 건물 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354846,127.355477,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로8번길 73-14(월평동),대전광역시 서구 월평동 1238 한영빌라 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354537,127.356843,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로8번길 61-12(월평동),대전광역시 서구 월평동 1271 지음빌라 옆,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354185,127.356205,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로4번길 51(월평동),대전광역시 서구 월평동 1298 우정맨션 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.353107,127.355919,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로20번길 56(월평동),대전광역시 서구 월평동 1348 갑천역 1번출구쪽,쓰레기단속,1,,,5,2016-01,042-288-3574,36.354569,127.355087,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로20번길 38(월평동),대전광역시 서구 월평동 1356 갑천역 2번출구쪽,쓰레기단속,1,,,5,2016-01,042-288-3574,36.353987,127.354192,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로20번길 34(월평동),대전광역시 서구 월평동 1356 갑천역 2번출구쪽,쓰레기단속,1,,,5,2016-01,042-288-3574,36.3538162,127.354094,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평동 1536,대전광역시 서구 월평동 패션월드 지하주차장 입구,쓰레기단속,1,,,5,2016-01,042-288-3574,36.352879,127.352624,2019-01-04
"대전광역시 서구청",대전광역시 서구 계룡로264번길 28-26(월평동),대전광역시 서구 월평동 19-37 명진타운 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.352118,127.360551,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평동 78-2,대전광역시 서구 월평동 동산기획 입구 공원옆,쓰레기단속,1,,,5,2016-01,042-288-3574,36.3414828,127.3535159,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평새뜸로20번길 14(월평동),대전광역시 서구 월평동 1363 대한교회 옆,쓰레기단속,1,,,5,2016-06,042-288-3574,36.353136,127.353069,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평로13번길 94(월평동),대전광역시 서구 월평동 424 대원건물 앞,쓰레기단속,1,,,5,2016-06,042-288-3574,36.358098,127.361027,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평동 630,대전광역시 서구 월평동 동남타운 옆 소공원 입구,쓰레기단속,1,,,5,2016-06,042-288-3574,36.3563966,127.3659786,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로14번길 57(월평동),대전광역시 서구 월평동 697 한림주택 앞,쓰레기단속,1,,,5,2016-06,042-288-3574,36.355703,127.367088,2019-01-04
"대전광역시 서구청",대전광역시 서구 계룡로349번길 37(월평동,대전광역시 서구 월평동 727 선희주택 옆,쓰레기단속,1,,,5,2016-06,042-288-3574,36.355618,127.367989,2019-01-04
"대전광역시 서구청",대전광역시 서구 청사로123번길 25(월평동),대전광역시 서구 월평동 279 선사유적지 담당,쓰레기단속,1,,,5,2016-01,042-288-3574,36.361115,127.377497,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로 55(월평동),대전광역시 서구 월평동 313 은평공원 입구,쓰레기단속,1,,,5,2016-01,042-288-3574,36.359664,127.363909,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평동동로 83(월평동),대전광역시 서구 월평동 311 다모아아파트 상가 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.362709,127.367974,2019-01-04
"대전광역시 서구청",대전광역시 서구 만년남로3번길 21(만년동),대전광역시 서구 만년동 270 한밭하이츠 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.365399,127.375347,2019-01-04
"대전광역시 서구청",대전광역시 서구 만년남로3번길 145(만년동),대전광역시 서구 만년동 10 만년고 담장,쓰레기단속,1,,,5,2016-01,042-288-3574,36.367097,127.372465,2019-01-04
"대전광역시 서구청",대전광역시 서구 만년남로11번길 50(만년동),대전광역시 서구 만년동 156 만년어리이집 앞,쓰레기단속,1,,,5,2016-01,042-288-3574,36.366263,127.373632,2019-01-04
"대전광역시 서구청",대전광역시 서구 만년동 319 (만년동),대전광역시 서구 만년동 319오피스텔 리체스 앞,쓰레기단속,1,,,5,2018-12,042-288-3574,36.368415,127.382231,2019-01-04
"대전광역시 서구청",대전광역시 서구 월드컵대로480(지하철본부),대전광역시 서구 월평동 160-20,교통단속,3,,360도 전방면,30,2009-02,042-270-5365,36.348394,127.352746,2019-01-04
"대전광역시 서구청",대전광역시 서구 정림로66번길3(우성아파트),대전광역시 서구 정림동 546,교통단속,3,,360도 전방면,30,2009-02,042-270-5365,36.306405,127.365289,2019-01-04
"대전광역시 서구청",대전광역시 서구 둔산로133(현대아이텔),대전광역시 서구 둔산동 1457,교통단속,3,,360도 전방면,30,2009-02,042-270-5365,36.3515604,127.388785,2019-01-04
"대전광역시 서구청",대전광역시 서구 문예로33(목련네거리),대전광역시 서구 둔산동 1496,교통단속,3,,360도 전방면,30,2009-02,042-270-5365,36.349637,127.389843,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로1(대전일보),대전광역시 서구 월평동 873,교통단속,5,,360도 전방면,30,2009-12,042-270-5365,36.354727,127.363727,2019-01-04
"대전광역시 서구청",대전광역시 서구 둔산중로19(샤크존),대전광역시 서구 탄방동 590,교통단속,5,,360도 전방면,30,2011-02,042-270-5365,36.348192,127.3861801,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로191(모태크리닉),대전광역시 서구 둔산동 1045,교통단속,5,,360도 전방면,30,2011-02,042-270-5365,36.350358,127.377378,2019-01-04
"대전광역시 서구청",대전광역시 서구 한밭대로570번길26(이마트),대전광역시 서구 월평동 495,교통단속,4,,360도 전방면,30,2011-07,042-270-5365,36.357222,127.361834,2019-01-04
"대전광역시 서구청",대전광역시 서구 한밭대로755(삼성생명),대전광역시 서구 둔산동 948,교통단속,4,,360도 전방면,30,2011-12,042-270-5365,36.358255,127.382463,2019-01-04
"대전광역시 서구청",대전광역시 서구 가장로106(래미안아파트),대전광역시 서구 가장동 55,교통단속,3,,360도 전방면,30,2011-12,042-270-5365,36.333681,127.384311,2019-01-04
"대전광역시 서구청",대전광역시 서구 원도안로200(도안초등학교),대전광역시 서구 도안동 1363,교통단속,4,,360도 전방면,30,2011-12,042-270-5365,36.321634,127.3446688,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로415(테크노월드),대전광역시 서구 만년동 1,교통단속,3,,360도 전방면,30,2012-04,042-270-5365,36.369671,127.378038,2019-01-04
"대전광역시 서구청",대전광역시 서구 둔산중로8(로데오타운),대전광역시 서구 탄방동 700,교통단속,4,,360도 전방면,30,2012-04,042-270-5365,36.347295,127.387285,2019-01-04
"대전광역시 서구청",대전광역시 서구 문정로122(공작한양아파트),대전광역시 서구 탄방동 842,교통단속,3,,360도 전방면,30,2012-04,042-270-5365,36.346464,127.392772,2019-01-04
"대전광역시 서구청",대전광역시 서구 복수동로52(초록마을아파트),대전광역시 서구 복수동 488,교통단속,5,,360도 전방면,30,2012-04,042-270-5365,36.299768,127.378344,2019-01-04
"대전광역시 서구청",대전광역시 서구 정림로55(수밋들공원),대전광역시 서구 정림동 584,교통단속,4,,360도 전방면,30,2012-04,042-270-5365,36.304875,127.364258,2019-01-04
"대전광역시 서구청",대전광역시 서구 계룡로598(탄방네거리),대전광역시 서구 괴정동 423-1,교통단속,5,,360도 전방면,30,2013-05,042-270-5365,36.340842,127.389287,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평북로90(일산빌딩삼거리),대전광역시 서구 월평동 246,교통단속,4,,360도 전방면,30,2013-05,042-270-5365,36.361664,127.378427,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로3번길99(마이웨딩홀),대전광역시 서구 월평동1130,교통단속,4,,360도 전방면,30,2013-05,042-270-5365,36.3542181,127.3586739,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로185번길30(갤러리아옥외주차장),대전광역시 서구 둔산동1064,교통단속,5,,360도 전방면,30,2013-05,042-270-5365,36.350516,127.376019,2019-01-04
"대전광역시 서구청",대전광역시 서구 둔산북로30(이마트둔산점),대전광역시 서구 둔산동 965,교통단속,5,,360도 전방면,30,2013-05,042-270-5365,36.355571,127.377813,2019-01-04
"대전광역시 서구청",대전광역시 서구 갈마중로15(서부소방서),대전광역시 서구 갈마동343-58,교통단속,3,,360도 전방면,30,2013-05,042-270-5365,36.347866,127.371124,2019-01-04
"대전광역시 서구청",대전광역시 서구 둔산로155(문정네거리),대전광역시 서구 둔산동 1509,교통단속,5,,360도 전방면,30,2013-01,042-270-5365,36.3523040,127.3928594,2019-01-04
"대전광역시 서구청",대전광역시 서구 문정로90(세이탄방점),대전광역시 서구 탄방동 754,교통단속,4,,360도 전방면,30,2016-06,042-270-5365,36.346418,127.3891897,2019-01-04
"대전광역시 서구청",대전광역시 서구 청사로128(칼릭스),대전광역시 서구 월평동 282-3,교통단속,5,,360도 전방면,30,2017-06,042-270-5365,36.359402,127.377837,2019-01-04
"대전광역시 서구청",대전광역시 서구 도안북로107(남대전농협),대전광역시 서구 도안동 880,교통단속,4,,360도 전방면,30,2017-06,042-270-5365,36.3303655,127.3407024,2019-01-04
"대전광역시 서구청",대전광역시 서구 동서대로682(스타벅스),대전광역시 서구 도안동 849,교통단속,5,,360도 전방면,30,2017-06,042-270-5365,36.3318081,127.3386164,2019-01-04
"대전광역시 서구청",대전광역시 서구 원도안로16(지산프라자),대전광역시 서구 가수원동 1028,교통단속,5,,360도 전방면,30,2017-06,042-270-5365,36.3192255,127.3445420,2019-01-04
"대전광역시 서구청",대전광역시 서구 구봉로147번길64(느리울유치원),대전광역시 서구 관저동 1342,교통단속,5,,360도 전방면,30,2017-06,042-270-5365,36.299256,127.338673,2019-01-04
"대전광역시 서구청",대전광역시 서구 갈마중로 47(제일교회),대전광역시 서구 갈마동 986,교통단속,4,,360도 전방면,30,2017-06,042-270-5365,36.347331,127.374617,2019-01-04
"대전광역시 서구청",대전광역시 서구 대덕대로 222(삼성전자서비스센터),대전광역시 서구 둔산동 1361,교통단속,5,,360도 전방면,30,2018-06,042-270-5365,36.352363,127.3797399,2019-01-04
"대전광역시 서구청",대전광역시 서구 구봉로 122(순복음예광교회),대전광역시 서구 관저동 1550-1,교통단속,3,,360도 전방면,30,2018-06,042-270-5365,36.3029737,127.3647718,2019-01-04
"대전광역시 서구청",대전광역시 서구 구봉로 133(에스프라자),대전광역시 서구 관저동 1542,교통단속,5,,360도 전방면,30,2018-06,042-270-5365,36.3041947,127.3524127,2019-01-04
"대전광역시 서구청",대전광역시 서구 관저동 1539(노브랜드),대전광역시 서구 관저동 1539,교통단속,4,,360도 전방면,30,2018-06,042-270-5365,36.294499,127.332929,2019-01-04
"대전광역시 서구청",대전광역시 서구 원도안로 43(우미프라자),대전광역시 서구 가수원동 850,교통단속,5,,360도 전방면,30,2018-06,042-270-5365,36.3080270917,127.347650955,2019-01-04
"대전광역시 서구청",대전광역시 서구 도안동로 177(수목토아파트),대전광역시 서구 도안동 1364,교통단속,3,,360도 전방면,30,2018-06,042-270-5365,36.319719,127.346017,2019-01-04
"대전광역시 서구청",대전광역시 서구 신갈마로 209번길 65(갈마동),대전광역시 서구 갈마동 301-1,생활방범,1,,360도 전방면,30,2006-02,042-288-2672,36.3520826,127.3648259,2019-01-04
"대전광역시 서구청",대전광역시 서구 계룡로 416번길 28(갈마동),대전광역시 서구 갈마동 344-21,생활방범,1,,360도 전방면,30,2006-02,042-288-2672,36.3488951,127.3728867,2019-01-04
"대전광역시 서구청",대전광역시 서구 관저중로 94번길(관저동),대전광역시 서구 관저동 1016,생활방범,1,,360도 전방면,30,2006-02,042-288-2672,36.3004514,127.3352062,2019-01-04
"대전광역시 서구청",대전광역시 서구 도솔로 388번길 8(괴정동),대전광역시 서구 괴정동 423-21,생활방범,2,,360도 전방면,30,2006-02,042-288-2672,36.339914,127.389106,2019-01-04
"대전광역시 서구청",대전광역시 서구 괴정로 11번길 73(갈마동),대전광역시 서구 갈마2동 1416,생활방범,1,,360도 전방면,30,2007-01,042-288-2672,36.341744,127.377117,2019-01-04
"대전광역시 서구청",대전광역시 서구 도솔4길 25(도마동),대전광역시 서구 도마2동 120-29,생활방범,1,,360도 전방면,30,2007-01,042-288-2672,36.316778,127.372328,2019-01-04
"대전광역시 서구청",대전광역시 서구 도솔로 511번길 51(용문동),대전광역시 서구 용문동 215-21,생활방범,1,,360도 전방면,30,2007-01,042-288-2672,36.342031,127.401156,2019-01-04
"대전광역시 서구청",대전광역시 서구 월평중로 13번길 53(월평동),대전광역시 서구 월평1동 1041,생활방범,1,,360도 전방면,30,2007-01,042-288-2672,36.355647,127.361008,2019-01-04
"대전광역시 서구청",대전광역시 서구 신갈마로 230번길 19(갈마동),대전광역시 서구 갈마1동 264-31,생활방범,1,,360도 전방면,30,2007-08,042-288-2672,36.354072,127.370075,2019-01-04
"대전광역시 서구청",대전광역시 서구 갈마중로 28(갈마동),대전광역시 서구 갈마2동 345-1,생활방범,1,,360도 전방면,30,2007-08,042-288-2672,36.347594,127.372281,2019-01-04
"대전광역시 서구청",대전광역시 서구 괴정로 115번길 30(괴정동),대전광역시 서구 괴정동 50-1,생활방범,1,,360도 전방면,30,2007-08,042-288-2672,36.338353,127.3868875,2019-01-04
"대전광역시 서구청",대전광역시 서구 도솔로 349번길 28(괴정동),대전광역시 서구 괴정동 60-15,생활방범,1,,360도 전방면,30,2007-08,042-288-2672,36.339425,127.3843951,2019-01-04
"대전광역시 서구청",대전광역시 서구 도솔로 327번길 12(괴정동),대전광역시 서구 괴정동 79-16,생활방범,1,,360도 전방면,30,2007-08,042-288-2672,36.3376797,127.3832070,2019-01-04
"대전광역시 서구청",대전광역시 서구 바탕들1길 27(도마동),대전광역시 서구 도마1동 138-37,생활방범,1,,360도 전방면,30,2007-08,042-288-2672,36.313042,127.383931,2019-01-04
"대전광역시 서구청",대전광역시 서구 사마6길 79(도마동),대전광역시 서구 도마2동 107-5,생활방범,1,,360도 전방면,30,2007-08,042-288-2672,36.318025,127.374206,2019-01-04
